"District","Constituency NO","Constituency","Winner Candidate 2018","Winner Party","Winner Votes","Winner %","Margin Votes","Margin %"
"Hoshangabad","136","Seoni-Malwa","Premshanker Kunjilal Verma","BJP","88,022","46.58","11,604","6.14"
"Hoshangabad","137","Hoshangabad","Dr. Sitasaran Sharma","BJP","82,216","52.34","15,217","9.69"
"Hoshangabad","138","Sohagpur","Vijaypal Singh","BJP","87,488","48.09","11417","6.25"
"Hoshangabad","139","Pipariya (SC)","Thakurdas Nagwanshi","BJP","84,521","49.97","18,130","10.72"
"Raisen","140","Udaipura","Devendra Singh Patel","INC","86,441","48.94","8,001","4.53"
"Raisen","141","Bhojpur","Surendra Patwa","BJP","92,458","52.81","29,486","16.84"
"Raisen","142","Sanchi (SC)","Dr. Prabhuram Choudhary","INC","89,567","50.7","10,813","6.12"
"Raisen","143","Silwani","Rampal Singh","BJP","64,222","41.42","7,072","4.57"
"Vidisha","144","Vidisha","Shashank Bhargav","INC","80,332","52.51","15,454","10.1"
"Vidisha","145","Basoda","Leena Jain","BJP","73,520","50.28","10,226","7"
"Vidisha","146","Kurwai (SC)","Hari Singh Sapre","BJP","80,264","52.06","16,695","10.82"
"Vidisha","147","Sironj","Umakant Sharma","BJP","83,617","55","34,734","22.84"
"Vidisha","148","Shamshabad","Rajshri Singh","BJP","62,607","47.37","7,340","5.55"
"Bhopal","149","Berasia (SC)","Vishnu Khatri","BJP","77,814","47.77","13,779","8.46"
"Bhopal","150","Bhopal Uttar","Arif Aqueel","INC","90,403","58.77","34,857","22.66"
"Bhopal","151","Narela","Vishvas Sarang","BJP","108,654","53.24","23,151","11.35"
"Bhopal","152","Bhopal Dakshin-Paschim","P. C. Sharma","INC","67,323","48.97","6,587","4.79"
"Bhopal","153","Bhopal Madhya","Arif Masood","INC","76,647","53.2","14,757","10.24"
"Bhopal","154","Govindpura","Krishna Gaur","BJP","125,487","58","46,359","21.43"
"Bhopal","155","Huzur","Rameshwar Sharma","BJP","107,288","51.35","15,725","7.52"
"Sehore","156","Budhni","Shivraj Singh Chouhan","BJP","123,492","60.25","58,999","28.78"
"Sehore","157","Ashta (SC)","Raghunath Singh Malviya","BJP","92,292","44.74","6,044","2.93"
"Sehore","158","Ichhawar","Karan Singh Verma","BJP","86,958","50.42","15,869","9.24"
"Sehore","159","Sehore","Sudesh Rai","BJP","60,117","38","20,644","13.05"
"Rajgarh","160","Narsinghgarh","Rajyavardhan Singh","BJP","85,335","49.64","9,534","5.54"
"Rajgarh","161","Biaora","Govardhan Dangi","INC","75,569","42.86","826","0.47"
"Rajgarh","162","Rajgarh","Bapusingh Tanwar","INC","81,921","47.02","31,183","17.9"
"Rajgarh","163","Khilchipur","Priyavrat Singh","INC","101,854","56.38","29,756","16.47"
"Rajgarh","164","Sarangpur (SC)","Kunwarji Kothar","BJP","75,005","49.59","4,381","2.9"
"Agar Malwa","165","Susner","Vikaram Singh Rana","Independent","75,804","42.1","27,062","15.03"
"Agar Malwa","166","Agar (SC)","Manohar Untwal","BJP","82,146","47.69","2,490","1.45"
"Shajapur","167","Shajapur","Hukum Singh Karada","INC","89,940","48.85","44,979","24.43"
"Shajapur","168","Shujalpur","Inder Singh Parmar","BJP","78,952","49.11","5,623","3.5"
"Shajapur","169","Kalapipal","Kunal Choudhary","INC","86,249","52.1","13,699","8.26"
"Dewas","170","Sonkatch (SC)","Sajjan Singh Verma","INC","86,396","48.92","9,818","5.56"
"Dewas","171","Dewas","Gayatri Raje Puar","BJP","103,456","55.07","27,987","14.9"
"Dewas","172","Hatpipliya","Manoj Choudhary","INC","83,337","52.15","13,519","8.46"
"Dewas","173","Khategaon","Aashish Govind Sharma","BJP","71,984","41.77","7,772","4.51"
"Dewas","174","Bagli (ST)","Pahad Singh Kannoje","BJP","89,417","48.33","11,843","6.4"
"Khandwa","175","Mandhata","Narayan Patel","INC","71,228","47.22","1,236","0.82"
"Khandwa","176","Harsud (ST)","Kunwar Vijay Shah","BJP","80,556","52","18,949","14.23"
"Khandwa","177","Khandwa (SC)","Devendra Verma","BJP","77,123","45.47","19,137","11.27"
"Khandwa","178","Pandhana (ST)","Ram Dangore","BJP","91,844","46.17","23,750","11.94"
"Burhanpur","179","Nepanagar (ST)","Sumitra Devi Kasdekar","INC","85,320","46.69","1,264","0.7"
"Burhanpur","180","Burhanpur","Thakur Surendra Singh Naval Singh","Independent","98,561","44.87","5,120","2.34"
"Khargone","181","Bhikangaon (ST)","Dr. Dhyansingh Solanki","INC","91,635","55.39","27,257","16.47"
"Khargone","182","Barwah","Sachin Birla","INC","96,230","56.53","30,508","17.92"
"Khargone","183","Maheshwar (SC)","Dr. Vijayalaxmi Sadho","INC","83,087","49.05","35,836",""
"Khargone","184","Kasrawad","Sachin Yadav","INC","86,070","49.07","5,539","3.16"
"Khargone","185","Khargone","Ravi Joshi","INC","88,208","49.92","9,512","5.42"
"Khargone","186","Bhagwanpura (ST)","Kedar Dawar","Independent","73,758","43.36","9,716","5.71"
"Barwani","187","Sendhawa (ST)","Gyarsilal Rawat","INC","94,722","51.07","15,878","8.56"
"Barwani","188","Rajpur (ST)","Bala Bachchan","INC","85,513","47.99","932","0.52"
"Barwani","189","Pansemal (ST)","Sushri Kirade","INC","94,634","54.6","25,222","14.55"
"Barwani","190","Barwani (ST)","Premsingh Patel","BJP","88,151","48.14","38,787","21.18"
"Alirajpur","191","Alirajpur (ST)","Mukesh Rawat","INC","82,017","52.6","21,962","14.09"
"Alirajpur","192","Jobat (ST)","Kalawati Bhuriya","INC","46,067","33.53","2,056","1.49"
"Jhabua","193","Jhabua (ST)","Guman Singh Damor","BJP","66,598","37.81","10,437","5.93"
"Jhabua","194","Thandla (ST)","Veer Singh Bhuriya","INC","95,720","47.61","31,151","15.49"
"Jhabua","195","Petlawad (ST)","Val Singh Maida","INC","93,425","46.9","5,000","2.51"
"Dhar","196","Sardarpur (ST)","Pratap Grewal","INC","96,419","58.61","36,205","22.01"
"Dhar","197","Gandhwani (ST)","Umang Singhar","INC","96,899","57.53","38,831","23.05"
"Dhar","198","Kukshi (ST)","Surendra Singh Baghel","INC","108,391","65.63","62,930","38.1"
"Dhar","199","Manawar (ST)","Dr. Hiralal Alawa","INC","101,500","58.43","39,501","22.74"
"Dhar","200","Dharampuri (ST)","Panchilal Meda","INC","78,504","50.65","13,972","9.01"
"Dhar","201","Dhar","Neena Vikram Verma","BJP","93,180","49.47","5,718","3.04"
"Dhar","202","Badnawar","Rajvardhan Singh Dattigaon","INC","84,499","50.4","41,506","24.75"
"Indore","203","Depalpur","Vishal Jagdish Patel","INC","94,981","50.46","9,044","3.8"
"Indore","204","Indore-1","Sanjay Shukla","INC","114,555","50.24","8,163","3.58"
"Indore","205","Indore-2","Ramesh Mendola","BJP","138,794","63.94","71,011","32.71"
"Indore","206","Indore-3","Akash Vijayvargiya","BJP","67,075","50.96","5,751","4.37"
"Indore","207","Indore-4","Malini Gaur","BJP","102,673","61.12","43,090","25.63"
"Indore","208","Indore-5","Mahendra Hardia","BJP","117,836","48.3","1,133","0.46"
"Indore","209","Dr. Ambedkar Nagar-Mhow","Usha Thakur","BJP","97,009","49.86","7,157","3.68"
"Indore","210","Rau","Jitu Patwari","INC","107,740","49.95","5,703","2.64"
"Indore","211","Sanwer","Tulsi Silawat","INC","96,535","48.38","2,945","1.48"
"Ujjain","212","Nagda-Khachrod","Dilip Gurjar","INC","83,823","49.89","5,117","3.04"
"Ujjain","213","Mahidpur","Bahadursingh Chouhan","BJP","70,499","44.69","15,220","9.67"
"Ujjain","214","Tarana (SC)","Mahesh Parmar","INC","67,778","48.38","2,209","1.57"
"Ujjain","215","Ghatiya (SC)","Ramlal Malviya","INC","79,639","48.47","4,628","3.81"
"Ujjain","216","Ujjain North","Paras Chandra Jain","BJP","77,271","52.49","25,724","17.47"
"Ujjain","217","Ujjain South","Dr. Mohan Yadav","BJP","78,178","46.71","18,960","11.33"
"Ujjain","218","Badnagar","Murli Morwal","INC","76,802","49.39","5,381","3.46"
"Ratlam","219","Ratlam Rural (ST)","Dilip Kumar Makwana","BJP","79,806","49.3","5,605","3.47"
"Ratlam","220","Ratlam City","Chetanya Kasyap","BJP","91,986","63.66","43,435","30.06"
"Ratlam","221","Sailana (ST)","Harsh Gehlot","INC","73,597","44.73","28,498","17.32"
"Ratlam","222","Jaora","Rajendra Pandey","BJP","64,503","36.49","511","0.29"
"Ratlam","223","Alot (SC)","Manoj Chawla","INC","80,821","49.42","5,448","3.34"
"Mandsaur","224","Mandsour","Yashpal Singh Sisodia","BJP","102,626","52.52","18,370","9.4"
"Mandsaur","225","Malhargarh (SC)","Jagdish Dewda","BJP","99,839","51.03","11,872","6.07"
"Mandsaur","226","Suwasra","Hardeep Singh Dang","INC","93,169","45.03","350","0.17"
"Mandsaur","227","Garoth","Devilal Dhakad","BJP","75,946","41.93","2,108","1.17"
"Neemuch","228","Manasa","Anirudha Maroo","BJP","87,004","56.64","25,954","16.9"
"Neemuch","229","Neemuch","Dilip Singh Parihar","BJP","87,197","51.93","14,857","8.85"
"Neemuch","230","Jawad","Om Prakash Sakhlecha","BJP","52,316","37.4","4,271","3.05"
